"Population density in rings moving out from central business district, in 1-mile increments",2010 population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area","18,897,109","78,522","80,951","65,912","58,140","75,950","75,092","57,434","54,632","45,041","52,924","46,835","44,316","33,885","22,200","18,109","14,493","12,052","9,895","6,687","6,727","7,061","5,197","5,355","4,649","4,960","5,480","5,083","5,691","6,939","4,357","2,597","3,875","3,628","4,413","4,124","2,511","2,585","3,010","2,675","3,347","2,973","2,502","2,949","3,656","5,032","1,982","2,335","2,229","2,737","2,127","2,242","3,359","2,944","2,087","2,341","1,826","1,602","1,014","2,462","2,039","1,504","2,280",875,"1,071",448,359,"1,352",251,"1,510",370,359,"1,460",332,810,349,502,131,980,463,"1,049","1,167",555,842,0,396,526,0,0,280,"2,286",173
"Los Angeles-Long Beach-Santa Ana, CA Metro Area","12,828,837","22,979","31,023","26,709","26,764","19,861","17,435","17,712","15,827","12,425","12,345","11,500","12,676","11,926","11,211","12,404","9,468","10,613","13,732","12,059","13,220","9,849","8,436","9,447","8,157","8,979","7,344","8,364","8,010","7,797","10,960","9,985","8,645","7,382","8,692","5,804","6,305","6,311","5,366","2,537","1,733","1,239","2,005","3,872","5,854","5,796","4,891","6,251","4,978","3,680","4,159","4,287","5,464","2,735","3,444","1,116",0,"7,366","5,647","2,551",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chicago-Joliet-Naperville, IL-IN-WI Metro Area","9,461,105","30,240","30,710","21,981","22,867","22,910","23,442","21,501","22,004","17,331","14,004","9,399","7,999","8,124","6,534","5,364","5,041","4,764","4,883","4,325","4,646","4,561","3,135","3,992","4,045","3,760","3,606","4,352","3,491","3,234","2,921","2,390","2,854","2,788","3,276","4,988","4,888","3,271","2,713","2,463","1,860","1,598","2,342","1,670","1,918","1,956",703,932,"1,543","2,956","2,138","3,499","1,906","1,381",519,964,901,335,"2,348","3,680","2,320",60,19,276,115,0,0,0,0,0,73,52,0,0,0,28,0,34,30,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dallas-Fort Worth-Arlington, TX Metro Area","6,371,773","3,507","5,560","7,859","6,106","5,625","5,909","8,108","6,545","5,335","5,123","5,560","5,959","5,342","4,663","3,913","4,551","4,942","4,057","3,813","3,519","3,609","3,903","3,203","3,036","3,106","2,531","2,583","3,026","3,440","3,054","2,352","2,431","2,231","2,904","3,630","2,777","2,977","1,405","1,796","2,657",775,678,184,563,551,"2,188","1,196",374,89,151,102,34,315,43,121,303,494,"1,284",63,789,950,149,0,252,0,0,58,0,43,0,0,0,0,0,0,12,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","5,965,343","31,939","26,673","24,705","19,959","17,306","14,653","11,861","13,181","10,582","5,839","4,538","4,678","4,406","4,997","4,401","3,930","2,726","2,198","2,331","2,292","2,778","2,327","2,639","3,499","3,263","5,708","2,280","2,183","1,442","1,896","1,782","1,679","2,869","2,300","2,745","2,762","2,016","1,732","1,034",593,"1,145","1,399",634,372,"1,171",0,220,464,264,245,108,411,273,0,357,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Houston-Sugar Land-Baytown, TX Metro Area","5,946,800","19,010","6,292","6,300","5,025","5,330","5,583","6,371","8,795","5,527","5,642","5,544","6,737","6,086","5,266","5,138","3,840","4,143","4,092","4,076","4,213","3,106","3,319","2,731","2,757","2,051","1,992","1,752","1,319","1,285","1,264","1,822",955,"1,362",426,548,684,"1,237","1,977","1,004",719,"1,139",232,288,223,923,352,"4,608","2,206",653,925,"1,829","1,845",28,116,"1,731",53,168,24,0,43,60,0,0,0,0,0,19,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","5,582,170","32,199","24,858","23,911","12,696","13,071","10,488","9,159","8,932","6,935","5,448","5,306","5,231","4,326","4,843","3,913","3,424","3,698","3,403","4,041","4,501","5,751","4,705","4,911","3,481","4,675","3,390","2,827","2,304","1,219","1,482","1,186","3,226","2,386","1,204","1,718",300,"1,613","1,443","1,093","1,554",305,"2,271","3,934","1,835","1,259","1,405",561,"1,917",846,"1,105","1,406","1,724","1,979",894,194,420,224,114,235,0,396,0,"1,590","1,244",87,55,146,69,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","5,564,635","10,053","9,946","15,447","18,178","12,768","11,494","11,778","10,646","8,500","10,206","9,022","11,184","10,302","7,741","7,033","12,429","7,898","8,779","6,754","7,271","5,672","4,649","4,528","2,628","3,438","3,689","3,965","5,440","5,357","8,268","7,346","6,595","6,558","6,538","6,237","4,826","5,860","6,409","5,606","4,508","4,310","5,460","4,298","3,988","3,436","3,286","2,851","2,893","3,113","4,532","4,089","3,760","2,814","2,535","3,349","4,870","3,984","4,223","5,257","4,858","3,598","5,663","5,794","5,831","5,442","3,257","3,481","3,917","3,981","2,330","3,681","4,178","2,606","1,495","3,384","4,032","3,198","4,748","2,130","1,243",96,"2,899","1,974","3,125","3,578","2,897",0,0,0,0,0
"Atlanta-Sandy Springs-Marietta, GA Metro Area","5,268,860","6,633","8,769","6,117","3,306","3,510","3,949","3,538","3,189","3,791","2,947","3,342","2,654","3,165","3,145","3,331","2,371","2,333","2,022","1,974","2,470","1,960","2,457","1,765","1,898","1,919","2,020","1,560","1,372",758,"1,322","1,201",622,822,779,832,662,538,535,385,358,417,794,396,261,193,174,119,194,184,92,145,101,102,32,0,0,0,25,0,0,0,36,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boston-Cambridge-Quincy, MA-NH Metro Area","4,552,402","40,001","35,550","25,544","22,119","16,615","11,440","7,919","6,319","6,877","8,150","4,842","2,751","2,334","4,444","2,429","2,597","2,094","2,518","2,689","3,723","2,223","1,730","2,650","5,606","6,296","6,261","2,685","1,215","2,891","3,226",871,827,"1,946",965,705,"1,034",689,581,825,843,876,"1,068",992,453,367,743,359,564,597,257,"1,290","4,237",975,"1,146",990,0,"1,020",0,"1,359","1,580",0,704,881,591,0,"2,016",0,659,0,0,182,0,0,0,139,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Francisco-Oakland-Fremont, CA Metro Area","4,335,391","58,805","32,013","21,486","21,289","21,535","18,626","12,378","9,990","12,459","14,392","13,597","13,930","9,276","11,642","6,980","6,285","5,323","6,901","7,520","5,454","6,451","6,160","4,523","8,163","7,344","5,597","7,069","5,953","4,336","5,426","5,420","4,652","3,430","4,951","2,851","7,029","3,692","4,762","3,086","2,522","4,036","1,870","1,064",44,388,"1,652",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
